timestamp_utc,market_id,gross_demand_mw,wind_mw,solar_mw,net_load_mw,market_scale_mw,forecast_issue_time_utc,forecast_vintage_id,quality_ok,forecast_gross_h1_mw,forecast_gross_h3_mw,forecast_gross_h6_mw,forecast_gross_h12_mw,forecast_net_h1_mw,forecast_net_h3_mw,forecast_net_h6_mw,forecast_net_h12_mw
2025-01-31 23:00:00+00:00,CAISO_NP15,26105,652,10328,15125,33983.0,2025-01-31T23:00:00Z,causal-ridge-shortlag-v2,True,25932.926447357706,26736.976887515164,27716.850561806816,22829.379136996144,16598.53175633102,21273.47496383485,26807.192958559343,22285.117619435434
2025-01-31 23:00:00+00:00,ISONE_NEMA,16403,107,16,16280,18007.25,2025-01-31T23:00:00Z,causal-ridge-shortlag-v2,True,15792.938490277054,14461.520415290124,13117.433783829358,13404.47269718661,15623.896322602628,14232.072391494821,12852.855682190742,12906.415648560322
2025-01-31 23:00:00+00:00,MISO_MINN_HUB,74389,15769,179,58441,101249.75,2025-01-31T23:00:00Z,causal-ridge-shortlag-v2,True,75620.85570203773,73727.62608675707,67437.4771453261,66682.18890052165,61021.736076315996,58514.298681496664,52649.490843070955,52182.61408338994
2025-01-31 23:00:00+00:00,SPP_NORTH_HUB,32006,8742,149,23115,46366.75,2025-01-31T23:00:00Z,causal-ridge-shortlag-v2,True,32350.105441811218,32350.849959646825,31347.280885838903,31434.918944723817,25516.924471438164,26250.370255359274,24138.085975583886,21713.16026852314
2025-02-01 00:00:00+00:00,CAISO_NP15,25263,919,7268,17076,33983.0,2025-02-01T00:00:00Z,causal-ridge-shortlag-v2,True,25282.45091621378,26546.904936734216,27000.233846378927,22181.752937812602,19890.7035940898,23561.04959528755,27291.307740564753,20847.657957058993
2025-02-01 00:00:00+00:00,ISONE_NEMA,15928,152,16,15760,18007.25,2025-02-01T00:00:00Z,causal-ridge-shortlag-v2,True,15391.813470017973,14177.031298351996,12889.631958589742,13498.283416835164,15194.381809742179,13943.314264672264,12601.065407739354,12953.755369858727
2025-02-01 00:00:00+00:00,MISO_MINN_HUB,75221,16343,2,58876,101249.75,2025-02-01T00:00:00Z,causal-ridge-shortlag-v2,True,74566.38448025491,70716.87020318312,64543.74526243864,69085.41118841301,57331.12104831143,52843.308482028624,47590.294906625815,52376.532697443916
2025-02-01 00:00:00+00:00,SPP_NORTH_HUB,32986,8131,2,24853,46366.75,2025-02-01T00:00:00Z,causal-ridge-shortlag-v2,True,33579.01839726632,33468.13936175624,32070.358837944303,31828.69881168842,25071.491323293183,24241.054975217856,21840.95224198615,19912.412403276066
2025-02-01 01:00:00+00:00,CAISO_NP15,25429,1216,2275,21938,33983.0,2025-02-01T01:00:00Z,causal-ridge-shortlag-v2,True,26149.069046422992,27223.3328941873,25399.57473675983,22141.957586524084,25476.79309946232,26790.9066088238,26321.675470216804,20463.673908038487
2025-02-01 01:00:00+00:00,ISONE_NEMA,15377,147,16,15214,18007.25,2025-02-01T01:00:00Z,causal-ridge-shortlag-v2,True,14819.85571844784,13800.647334202848,13083.122802257663,13147.941570948611,14663.334207814849,13638.708718769127,12869.538966898941,12538.618660712069
2025-02-01 01:00:00+00:00,MISO_MINN_HUB,74385,16641,2,57742,101249.75,2025-02-01T01:00:00Z,causal-ridge-shortlag-v2,True,72725.13516691164,68281.07777004855,62532.1935143723,71114.6085165648,55676.11186788475,51984.50474112194,45832.04284710139,53726.60340279009
2025-02-01 01:00:00+00:00,SPP_NORTH_HUB,33078,8557,0,24521,46366.75,2025-02-01T01:00:00Z,causal-ridge-shortlag-v2,True,32903.3722455704,32151.082859449834,31209.450375134595,32581.19163979231,23894.11513502837,22363.396938373815,20413.862344859717,20511.18272179885
2025-02-01 02:00:00+00:00,CAISO_NP15,27292,1840,50,25402,33983.0,2025-02-01T02:00:00Z,causal-ridge-shortlag-v2,True,28572.13175399809,28408.262792295583,23779.024022269437,22319.813629053326,27104.233723838428,27371.179358474037,23900.957367956304,21093.158784198786
2025-02-01 02:00:00+00:00,ISONE_NEMA,14688,127,15,14546,18007.25,2025-02-01T02:00:00Z,causal-ridge-shortlag-v2,True,14061.678517630411,13300.998590159252,13179.544008937139,13302.696928760646,13930.45270320166,13176.959258685172,12990.975486913965,12663.67542248407
2025-02-01 02:00:00+00:00,MISO_MINN_HUB,73351,16394,3,56954,101249.75,2025-02-01T02:00:00Z,causal-ridge-shortlag-v2,True,71814.41361225506,67372.01873117726,63297.07257079793,71368.53296478241,55603.88073678554,51077.64897794513,46406.13254447396,51922.846215931444
2025-02-01 02:00:00+00:00,SPP_NORTH_HUB,32979,9707,0,23272,46366.75,2025-02-01T02:00:00Z,causal-ridge-shortlag-v2,True,32734.424876223908,32047.347563688454,31111.21159381161,32566.63142581332,22122.007275590302,20031.36779894459,17986.28844784861,19943.463255734398
2025-02-01 03:00:00+00:00,CAISO_NP15,27452,2233,0,25219,33983.0,2025-02-01T03:00:00Z,causal-ridge-shortlag-v2,True,27508.503246732675,26214.367144398577,22251.07109997374,24026.116838359605,25291.930367791043,24709.92309963411,21478.201127961707,19989.786101401147
2025-02-01 03:00:00+00:00,ISONE_NEMA,14029,159,3,13867,18007.25,2025-02-01T03:00:00Z,causal-ridge-shortlag-v2,True,13516.190408904155,13175.597482889481,13527.851202254544,13783.719776245114,13356.739151273287,13022.857126949555,13265.47986165896,13079.503186902966
2025-02-01 03:00:00+00:00,MISO_MINN_HUB,72210,16769,2,55439,101249.75,2025-02-01T03:00:00Z,causal-ridge-shortlag-v2,True,70434.54036229459,66093.50251238717,63328.97072454291,71711.29360126462,53606.28790771845,48668.22492583354,45754.61531092637,50174.75901606577
2025-02-01 03:00:00+00:00,SPP_NORTH_HUB,32718,11518,0,21200,46366.75,2025-02-01T03:00:00Z,causal-ridge-shortlag-v2,True,32354.778370162396,31581.58400812985,30792.890051411243,32596.759023935643,19626.939903262784,17316.092974702373,15717.931979300149,19370.553326417346
2025-02-01 04:00:00+00:00,CAISO_NP15,26882,2546,0,24336,33983.0,2025-02-01T04:00:00Z,causal-ridge-shortlag-v2,True,26225.26412034092,24058.367758876102,21067.285508967674,25445.606012925462,24482.519529281875,23319.997451375963,20213.118048103963,17549.725405652724
2025-02-01 04:00:00+00:00,ISONE_NEMA,13296,191,0,13105,18007.25,2025-02-01T04:00:00Z,causal-ridge-shortlag-v2,True,12750.010291479517,12683.532131969892,13589.367658500742,14102.158483056037,12541.541002641123,12471.50074757979,13261.628104125264,13353.454225701453
2025-02-01 04:00:00+00:00,MISO_MINN_HUB,70730,17753,2,52975,101249.75,2025-02-01T04:00:00Z,causal-ridge-shortlag-v2,True,68755.08927882135,65112.36550006703,64032.40607344655,73827.44292971652,50681.205259079856,46537.21871875191,44844.15740319116,50748.38800191449
2025-02-01 04:00:00+00:00,SPP_NORTH_HUB,32134,13551,0,18583,46366.75,2025-02-01T04:00:00Z,causal-ridge-shortlag-v2,True,31539.393197842044,30777.102288068945,30680.732526029606,33576.227405148304,16798.35996127704,14787.020128184486,14357.678150346594,19696.7286636575
2025-02-01 05:00:00+00:00,CAISO_NP15,26848,2957,0,23891,33983.0,2025-02-01T05:00:00Z,causal-ridge-shortlag-v2,True,25993.293669862735,23421.9239311174,20849.619378762345,24677.625793379695,23969.849458078403,23257.478677477193,20156.563183419566,14554.221868909073
2025-02-01 05:00:00+00:00,ISONE_NEMA,13004,267,0,12737,18007.25,2025-02-01T05:00:00Z,causal-ridge-shortlag-v2,True,12965.005863521572,13247.095887786856,13753.552423771987,14467.893925238954,12670.83764065599,12909.135792829868,13234.739147433454,13677.556695611216
2025-02-01 05:00:00+00:00,MISO_MINN_HUB,68780,19062,2,49716,101249.75,2025-02-01T05:00:00Z,causal-ridge-shortlag-v2,True,66637.10497779994,63756.41688045446,65010.47525594836,75597.28363742401,47103.765355484604,44082.672199263805,45006.53247858977,52027.85441503726
2025-02-01 05:00:00+00:00,SPP_NORTH_HUB,31582,14982,0,16600,46366.75,2025-02-01T05:00:00Z,causal-ridge-shortlag-v2,True,31064.786028851377,30537.354472904313,30829.099703087264,34044.85249878266,15260.297245424841,14103.820929208294,14642.28476762651,20395.570667350712
2025-02-01 06:00:00+00:00,CAISO_NP15,26372,2765,0,23607,33983.0,2025-02-01T06:00:00Z,causal-ridge-shortlag-v2,True,25297.921884317388,22992.788296979565,21528.136928122498,24239.700934672834,23853.19933766804,23039.849846840792,19901.804729266347,13119.852835146281
