timestamp_utc,market_id,gross_demand_mw,net_load_mw,wind_mw,solar_mw,market_scale_mw,da_lmp_usd_per_mwh,forecast_gross_h1_mw,forecast_gross_h2_mw,forecast_gross_h3_mw,forecast_net_h1_mw,forecast_net_h2_mw,forecast_net_h3_mw,forecast_issue_time_utc,forecast_vintage_id,quality_ok
2026-02-21T00:00:00Z,CAISO_NP15,25712.0,13976.0,248.0,11488.0,32722.8,29.4145,27145.713939757537,27487.61032412456,27597.935106904635,19248.068672941587,20375.587698552485,21701.882706742643,2026-02-21T00:00:00Z,bundle-7c9cd8b3c5e3cdaef57583cc,True
2026-02-21T00:00:00Z,ERCOT_LZ_NORTH,53011.275205,43605.48595020555,8871.464424825002,534.3248299694444,71754.41932255,28.15,51189.36467910339,50808.03801806599,50011.16640179092,38518.10310306038,36827.37155139651,37181.66758220707,2026-02-21T00:00:00Z,bundle-109861ef5e61f980f9d7e90b,True
2026-02-21T00:00:00Z,ISONE_NEMA,17035.0,16231.0,802.0,2.0,17608.25,72.58,16270.124559543965,15810.620991146505,15690.971410357974,15754.341378177724,15282.85551777938,15144.261419600909,2026-02-21T00:00:00Z,bundle-300300ae302ff22f5c9d57a4,True
2026-02-21T00:00:00Z,MISO_MINN_HUB,78390.0,62732.0,14966.0,692.0,91510.75,38.59,74712.0491726743,73974.68432960875,73977.68237895687,52666.81584933276,52114.212541456276,55634.19052145356,2026-02-21T00:00:00Z,bundle-fbcddb17c6afab4b862b2d0a,True
2026-02-21T00:00:00Z,NYISO_NYC_J,6333.4496,6333.4496,1428.0,0.0,7054.87155,65.09,5960.259935130524,5867.336098953609,5604.329284719618,5960.259935130524,5867.336098953609,5604.329284719618,2026-02-21T00:00:00Z,bundle-5e6c704f87cc84392722a1dc,True
2026-02-21T00:00:00Z,SPP_NORTH_HUB,33385.0,24394.0,8991.0,0.0,41569.45,42.8777,33099.00496392735,32974.132958564456,33458.41866331168,20921.078394945027,19977.29655437216,20324.664019290503,2026-02-21T00:00:00Z,bundle-2f15011435d8697103800f66,True
2026-02-21T01:00:00Z,CAISO_NP15,23589.0,16602.0,255.0,6732.0,32722.8,39.16816,27487.61032412456,27597.935106904635,26387.224096222504,20375.587698552485,21701.882706742643,22710.30124796183,2026-02-21T01:00:00Z,bundle-7c9cd8b3c5e3cdaef57583cc,True
2026-02-21T01:00:00Z,ERCOT_LZ_NORTH,52550.948643,43055.62660833889,9495.22392785,0.0981068111111111,71754.41932255,24.82,50808.03801806599,50011.16640179092,49010.05090907308,36827.37155139651,37181.66758220707,40905.3009511728,2026-02-21T01:00:00Z,bundle-109861ef5e61f980f9d7e90b,True
2026-02-21T01:00:00Z,ISONE_NEMA,16528.0,15692.0,834.0,2.0,17608.25,67.92,15810.620991146505,15690.971410357974,15179.488478033589,15282.85551777938,15144.261419600909,14687.605527536476,2026-02-21T01:00:00Z,bundle-300300ae302ff22f5c9d57a4,True
2026-02-21T01:00:00Z,MISO_MINN_HUB,79372.0,65939.0,13429.0,4.0,91510.75,34.33,73974.68432960875,73977.68237895687,74865.63129844195,52114.212541456276,55634.19052145356,61506.403739950656,2026-02-21T01:00:00Z,bundle-fbcddb17c6afab4b862b2d0a,True
2026-02-21T01:00:00Z,NYISO_NYC_J,6141.0779,6141.0779,1354.0,0.0,7054.87155,57.99,5867.336098953609,5604.329284719618,5317.946815786141,5867.336098953609,5604.329284719618,5317.946815786141,2026-02-21T01:00:00Z,bundle-5e6c704f87cc84392722a1dc,True
2026-02-21T01:00:00Z,SPP_NORTH_HUB,34479.0,24428.0,10051.0,0.0,41569.45,35.0,32974.132958564456,33458.41866331168,34222.67550925964,19977.29655437216,20324.664019290503,21113.873990402673,2026-02-21T01:00:00Z,bundle-2f15011435d8697103800f66,True
2026-02-21T02:00:00Z,CAISO_NP15,25576.0,24411.0,253.0,912.0,32722.8,39.22768,27597.935106904635,26387.224096222504,24843.825482416116,21701.882706742643,22710.30124796183,23009.55061323747,2026-02-21T02:00:00Z,bundle-7c9cd8b3c5e3cdaef57583cc,True
2026-02-21T02:00:00Z,ERCOT_LZ_NORTH,51404.87933,41591.76231133334,9812.998044541668,0.118974125,71754.41932255,22.88,50011.16640179092,49010.05090907308,48158.723339074764,37181.66758220707,40905.3009511728,37873.06165448758,2026-02-21T02:00:00Z,bundle-109861ef5e61f980f9d7e90b,True
2026-02-21T02:00:00Z,ISONE_NEMA,15886.0,15007.0,877.0,2.0,17608.25,66.43,15690.971410357974,15179.488478033589,14330.199666472792,15144.261419600909,14687.605527536476,13852.001725422646,2026-02-21T02:00:00Z,bundle-300300ae302ff22f5c9d57a4,True
2026-02-21T02:00:00Z,MISO_MINN_HUB,78492.0,65745.0,12744.0,3.0,91510.75,33.06,73977.68237895687,74865.63129844195,74728.33863338019,55634.19052145356,61506.403739950656,60944.907435909445,2026-02-21T02:00:00Z,bundle-fbcddb17c6afab4b862b2d0a,True
2026-02-21T02:00:00Z,NYISO_NYC_J,5934.4105,5934.4105,1313.0,0.0,7054.87155,56.87,5604.329284719618,5317.946815786141,5153.526850387333,5604.329284719618,5317.946815786141,5153.526850387333,2026-02-21T02:00:00Z,bundle-5e6c704f87cc84392722a1dc,True
2026-02-21T02:00:00Z,SPP_NORTH_HUB,34747.0,22515.0,12232.0,0.0,41569.45,33.5775,33458.41866331168,34222.67550925964,35255.4667041582,20324.664019290503,21113.873990402673,21362.358757535534,2026-02-21T02:00:00Z,bundle-2f15011435d8697103800f66,True
2026-02-21T03:00:00Z,CAISO_NP15,27085.0,26819.0,266.0,0.0,32722.8,38.79571,26387.224096222504,24843.825482416116,25245.15620668613,22710.30124796183,23009.55061323747,25392.878818375983,2026-02-21T03:00:00Z,bundle-7c9cd8b3c5e3cdaef57583cc,True
2026-02-21T03:00:00Z,ERCOT_LZ_NORTH,49997.914544,39910.905437408335,10086.889841091664,0.1192654999999999,71754.41932255,21.18,49010.05090907308,48158.723339074764,46472.34797152524,40905.3009511728,37873.06165448758,32778.99411007753,2026-02-21T03:00:00Z,bundle-109861ef5e61f980f9d7e90b,True
2026-02-21T03:00:00Z,ISONE_NEMA,15200.0,14407.0,791.0,2.0,17608.25,63.26,15179.488478033589,14330.199666472792,13899.799268208762,14687.605527536476,13852.001725422646,13340.012562564048,2026-02-21T03:00:00Z,bundle-300300ae302ff22f5c9d57a4,True
2026-02-21T03:00:00Z,MISO_MINN_HUB,77217.0,64410.0,12804.0,3.0,91510.75,32.74,74865.63129844195,74728.33863338019,71827.74656809519,61506.403739950656,60944.907435909445,55637.20116866578,2026-02-21T03:00:00Z,bundle-fbcddb17c6afab4b862b2d0a,True
2026-02-21T03:00:00Z,NYISO_NYC_J,5660.5516,5660.5516,1453.0,0.0,7054.87155,49.31,5317.946815786141,5153.526850387333,5088.259893698643,5317.946815786141,5153.526850387333,5088.259893698643,2026-02-21T03:00:00Z,bundle-5e6c704f87cc84392722a1dc,True
2026-02-21T03:00:00Z,SPP_NORTH_HUB,34540.0,22959.0,11581.0,0.0,41569.45,31.9616,34222.67550925964,35255.4667041582,34781.46857630973,21113.873990402673,21362.358757535534,18696.749143156798,2026-02-21T03:00:00Z,bundle-2f15011435d8697103800f66,True
2026-02-21T04:00:00Z,CAISO_NP15,27122.0,26877.0,245.0,0.0,32722.8,38.20483,24843.825482416116,25245.15620668613,26154.24752762595,23009.55061323747,25392.878818375983,25654.41051547609,2026-02-21T04:00:00Z,bundle-7c9cd8b3c5e3cdaef57583cc,True
2026-02-21T04:00:00Z,ERCOT_LZ_NORTH,48482.914715,37623.433457744446,10859.267018816668,0.2142384388888888,71754.41932255,18.95,48158.723339074764,46472.34797152524,44925.91584009153,37873.06165448758,32778.99411007753,31383.042154041566,2026-02-21T04:00:00Z,bundle-109861ef5e61f980f9d7e90b,True
2026-02-21T04:00:00Z,ISONE_NEMA,14308.0,13479.0,828.0,1.0,17608.25,59.59,14330.199666472792,13899.799268208762,13889.140311734245,13852.001725422646,13340.012562564048,13355.905180533435,2026-02-21T04:00:00Z,bundle-300300ae302ff22f5c9d57a4,True
