timestamp_utc,market_id,gross_demand_mw,wind_mw,solar_mw,net_load_mw,market_scale_mw,forecast_gross_h1_mw,forecast_gross_h2_mw,forecast_gross_h3_mw,forecast_net_h1_mw,forecast_net_h2_mw,forecast_net_h3_mw,forecast_issue_time_utc,forecast_vintage_id,quality_ok
2025-10-02 04:00:00+00:00,MISO_MINN_HUB,70453,15181,2,55270,101249.75,70453,70453,70453,55270,55270,55270,2025-10-02T04:00:00Z,persistence-placeholder,True
2025-10-02 04:00:00+00:00,CAISO_NP15,29624,2148,0,27476,33983.0,29624,29624,29624,27476,27476,27476,2025-10-02T04:00:00Z,persistence-placeholder,True
2025-10-02 05:00:00+00:00,CAISO_NP15,28832,2194,0,26638,33983.0,28832,28832,28832,26638,26638,26638,2025-10-02T05:00:00Z,persistence-placeholder,True
2025-10-02 05:00:00+00:00,ISONE_NEMA,9730,769,2,8959,18007.25,9730,9730,9730,8959,8959,8959,2025-10-02T05:00:00Z,persistence-placeholder,True
2025-10-02 05:00:00+00:00,SPP_NORTH_HUB,30113,16804,0,13309,46366.75,30113,30113,30113,13309,13309,13309,2025-10-02T05:00:00Z,persistence-placeholder,True
2025-10-02 05:00:00+00:00,MISO_MINN_HUB,67306,14858,3,52445,101249.75,67306,67306,67306,52445,52445,52445,2025-10-02T05:00:00Z,persistence-placeholder,True
2025-10-02 06:00:00+00:00,ISONE_NEMA,9503,692,2,8809,18007.25,9503,9503,9503,8809,8809,8809,2025-10-02T06:00:00Z,persistence-placeholder,True
2025-10-02 06:00:00+00:00,MISO_MINN_HUB,65024,14612,3,50409,101249.75,65024,65024,65024,50409,50409,50409,2025-10-02T06:00:00Z,persistence-placeholder,True
2025-10-02 06:00:00+00:00,SPP_NORTH_HUB,28992,15993,0,12999,46366.75,28992,28992,28992,12999,12999,12999,2025-10-02T06:00:00Z,persistence-placeholder,True
2025-10-02 06:00:00+00:00,CAISO_NP15,27397,1976,0,25421,33983.0,27397,27397,27397,25421,25421,25421,2025-10-02T06:00:00Z,persistence-placeholder,True
2025-10-02 07:00:00+00:00,ISONE_NEMA,9660,711,2,8947,18007.25,9660,9660,9660,8947,8947,8947,2025-10-02T07:00:00Z,persistence-placeholder,True
2025-10-02 07:00:00+00:00,CAISO_NP15,25730,1746,0,23984,33983.0,25730,25730,25730,23984,23984,23984,2025-10-02T07:00:00Z,persistence-placeholder,True
2025-10-02 07:00:00+00:00,SPP_NORTH_HUB,28257,15459,0,12798,46366.75,28257,28257,28257,12798,12798,12798,2025-10-02T07:00:00Z,persistence-placeholder,True
2025-10-02 07:00:00+00:00,MISO_MINN_HUB,63478,14397,3,49078,101249.75,63478,63478,63478,49078,49078,49078,2025-10-02T07:00:00Z,persistence-placeholder,True
2025-10-02 08:00:00+00:00,ISONE_NEMA,9953,680,2,9271,18007.25,9953,9953,9953,9271,9271,9271,2025-10-02T08:00:00Z,persistence-placeholder,True
2025-10-02 08:00:00+00:00,CAISO_NP15,25015,1664,0,23351,33983.0,25015,25015,25015,23351,23351,23351,2025-10-02T08:00:00Z,persistence-placeholder,True
2025-10-02 08:00:00+00:00,MISO_MINN_HUB,62811,13263,2,49546,101249.75,62811,62811,62811,49546,49546,49546,2025-10-02T08:00:00Z,persistence-placeholder,True
2025-10-02 08:00:00+00:00,SPP_NORTH_HUB,27846,15119,0,12727,46366.75,27846,27846,27846,12727,12727,12727,2025-10-02T08:00:00Z,persistence-placeholder,True
2025-10-02 09:00:00+00:00,SPP_NORTH_HUB,27840,15161,0,12679,46366.75,27840,27840,27840,12679,12679,12679,2025-10-02T09:00:00Z,persistence-placeholder,True
2025-10-02 09:00:00+00:00,MISO_MINN_HUB,63285,12173,2,51110,101249.75,63285,63285,63285,51110,51110,51110,2025-10-02T09:00:00Z,persistence-placeholder,True
2025-10-02 09:00:00+00:00,ISONE_NEMA,10287,614,2,9671,18007.25,10287,10287,10287,9671,9671,9671,2025-10-02T09:00:00Z,persistence-placeholder,True
2025-10-02 09:00:00+00:00,CAISO_NP15,23924,1787,0,22137,33983.0,23924,23924,23924,22137,22137,22137,2025-10-02T09:00:00Z,persistence-placeholder,True
2025-10-02 10:00:00+00:00,MISO_MINN_HUB,65913,10996,1,54916,101249.75,65913,65913,65913,54916,54916,54916,2025-10-02T10:00:00Z,persistence-placeholder,True
2025-10-02 10:00:00+00:00,ISONE_NEMA,11434,520,3,10911,18007.25,11434,11434,11434,10911,10911,10911,2025-10-02T10:00:00Z,persistence-placeholder,True
2025-10-02 10:00:00+00:00,CAISO_NP15,23587,1944,0,21643,33983.0,23587,23587,23587,21643,21643,21643,2025-10-02T10:00:00Z,persistence-placeholder,True
2025-10-02 10:00:00+00:00,SPP_NORTH_HUB,28653,15494,0,13159,46366.75,28653,28653,28653,13159,13159,13159,2025-10-02T10:00:00Z,persistence-placeholder,True
2025-10-02 11:00:00+00:00,SPP_NORTH_HUB,30462,14878,0,15584,46366.75,30462,30462,30462,15584,15584,15584,2025-10-02T11:00:00Z,persistence-placeholder,True
2025-10-02 11:00:00+00:00,MISO_MINN_HUB,69894,10557,1,59336,101249.75,69894,69894,69894,59336,59336,59336,2025-10-02T11:00:00Z,persistence-placeholder,True
2025-10-02 11:00:00+00:00,ISONE_NEMA,11950,438,99,11413,18007.25,11950,11950,11950,11413,11413,11413,2025-10-02T11:00:00Z,persistence-placeholder,True
