timestep,cpu_demand_norm,batch_share,service_demand_norm,batch_demand_norm
0,0.3887137248262303,0.22881087716910473,0.29977179648107055,0.08894192834515975
1,0.3983603987765367,0.22660366013112812,0.3080904743624777,0.09026992441405898
2,0.404511117391978,0.22577013429492243,0.313184588094602,0.091326529297376
3,0.40241215798760815,0.2240594542853228,0.3122479094711256,0.0901642485164826
4,0.4013241812871404,0.2364480399675246,0.3064318652302246,0.09489231605691587
5,0.4040181890576445,0.24139531234667755,0.3064900921163354,0.09752809694130911
6,0.4075637615133587,0.24012749054903762,0.30969649822242945,0.09786726329092926
7,0.4154388527190789,0.25278506595762923,0.3104221149331247,0.10501673778595418
8,0.4038035146152184,0.2372641925160065,0.3079953997849132,0.09580811483030523
9,0.41501139953182814,0.2394043417932207,0.3156558685902275,0.09935553094160066
10,0.4069490951543618,0.22818974799993924,0.3140874836822847,0.09286161147207711
11,0.399158209046513,0.21425569226307714,0.3136362906447623,0.0855219184017507
12,0.4021175267585093,0.20736306177268926,0.3187332052174035,0.0833843215411058
13,0.4231277379463952,0.20414345553690147,0.33674897938850556,0.08637875855788962
14,0.4378065405323885,0.2009547429452736,0.34982723971994284,0.08797930081244563
15,0.45540099221411445,0.20077216046709223,0.36396915112842926,0.09143184108568521
16,0.46036860991286493,0.19784371105743853,0.36928757567334947,0.09108103423951548
17,0.4512147522632714,0.1863071462434292,0.36715021942616544,0.08406453283710598
18,0.4592128932668489,0.1795243124910169,0.3767730143161071,0.08243987895074177
19,0.45520775806718977,0.18637706291086312,0.37036747310438817,0.08484028496280159
20,0.44026679126259627,0.18836841085612663,0.357334435439735,0.08293235582286128
21,0.46777612741614,0.20321577141054809,0.3727166408358303,0.09505948658030972
22,0.49068338560040675,0.2181080029252851,0.38366141229848444,0.10702197330192231
23,0.5145726963942715,0.25574449267196137,0.3829735632120753,0.13159913318219615
24,0.5066874794568054,0.25547774742577706,0.3772401035563361,0.1294473759004693
25,0.4980757256909376,0.24344108895415495,0.3768236286471048,0.12125209704383282
26,0.483766333355676,0.23142243028042797,0.3718119528026538,0.1119543805530222
27,0.47523338581338154,0.22624548263452288,0.3677139790759946,0.10751940673738693
28,0.48061102604279565,0.21995830484643272,0.3748966394639176,0.10571438657887806
29,0.47410033074025665,0.22779957092842387,0.36610047882060237,0.1079998519196543
30,0.48231554677465044,0.22923395371162264,0.37175244705091426,0.11056309972373618
