timestep,cpu_demand_norm,batch_share,service_demand_norm,batch_demand_norm
0,0.5081847523380738,0.28340686520976416,0.36416170473053994,0.14402304760753387
1,0.49355028284176083,0.2627053356427212,0.36389199013125606,0.12965829271050475
2,0.5052333566870254,0.2751291181441932,0.3662289488046935,0.13900440788233193
3,0.473753954784185,0.28234294126374854,0.3399928697550853,0.13376108502909972
4,0.49295106714194964,0.27196004941054297,0.3588880705650451,0.13406299657690451
5,0.5104748687638802,0.2763015597371779,0.36942986631778885,0.14104500244609128
6,0.511348700433439,0.30063913926749314,0.35761726726957876,0.15373143316386031
7,0.5178218760586905,0.29468854524119736,0.3652257007088874,0.1525961753498031
8,0.5076245019435935,0.3064528316320822,0.3520615359171539,0.15556296602643965
9,0.5237007397834205,0.31962923977842966,0.3563106704550446,0.16739006932837588
10,0.517480402061383,0.3056947400598589,0.35928936506715725,0.15819103699422576
11,0.5158044429512455,0.3048220716353817,0.3585758640921128,0.15722857885913272
12,0.5123824351506843,0.30520697772875294,0.3559997406770452,0.1563826944736391
13,0.5324313085247089,0.2921654035147953,0.3768733004256768,0.15555800809903206
14,0.5272117290918015,0.3065782575097221,0.36558007584814933,0.16163165324365217
15,0.507756771285974,0.30510632068520427,0.35283697099591166,0.1549198002900623
16,0.49449603360463973,0.2961051847673135,0.3480731942074342,0.14642283939720552
17,0.5019943457303174,0.29678779682394996,0.3530085498429363,0.14898579588738114
18,0.4901015714894313,0.29366001836833355,0.34617833500349576,0.14392323648593552
19,0.5104199570895044,0.2923246173845078,0.3612116384278981,0.14920831866160628
20,0.5074512213571211,0.29866709811864717,0.35589223763762645,0.1515589837194946
21,0.5150537250784708,0.314514903763618,0.35306165230232256,0.16199207277614822
22,0.5149145436448394,0.31095667759182316,0.35479842790933025,0.16011611573550907
23,0.510182828224357,0.3110528398336638,0.3514890106708005,0.15869381755355652
24,0.5214101133909399,0.31139851024908566,0.35904378085219435,0.16236633253874552
