timestep,cpu_demand_norm,batch_share,service_demand_norm,batch_demand_norm
0,0.5195538147041951,0.0018369554744451899,0.5185994174800054,0.0009543972241897531
1,0.48796431662116563,0.0018138191662468198,0.4870792375912336,0.0008850790299320019
2,0.47785747821435276,0.0019069152375899678,0.4769462445077495,0.0009112337066032654
3,0.5239744017852461,0.0034614668637594965,0.5221606817560083,0.0018137200292378342
4,0.5528114388682008,0.003233420318469452,0.5510239671294821,0.001787471738718774
5,0.5632959497179381,0.0013142784821819442,0.5625556219721235,0.0007403277458145285
6,0.5578438796408093,0.0010751331339768219,0.5572441232022213,0.0005997564385880123
7,0.5501609024212868,0.0015077651243225023,0.5493313889998502,0.0008295134214366116
8,0.5274395395675527,0.0011852391185337397,0.5268143975925959,0.0006251419749568877
9,0.4838787979163164,0.0026953075512430066,0.48257459573840616,0.0013042021779102364
10,0.4446077911374036,0.0033543798491451698,0.44311640772203936,0.001491383415364251
11,0.4172335880365139,0.0025554069146633226,0.41616738644061557,0.0010662015958982957
12,0.39014982824629674,0.0029705323586943144,0.3889908755567521,0.0011589526895446536
13,0.41615270525012754,0.0023327989038550694,0.4151819046754837,0.0009708005746438194
14,0.4119940783155671,0.001913636140015283,0.41120567155783017,0.000788406757736956
15,0.38777915269935037,0.004311944739376049,0.3861070704218287,0.0016720822775216655
16,0.40034377036233726,0.004390201466785351,0.39858618055447415,0.0017575898078631105
17,0.39315712316077334,0.0025629140823718363,0.3921494952332398,0.0010076279275335444
18,0.3967666592569516,0.0021352115868137544,0.3959194784888448,0.0008471807681068278
19,0.4130835555786536,0.0019176623925090262,0.41229140077915655,0.0007921547994970962
20,0.4378212444988206,0.001605201010525127,0.4371184533947217,0.0007027911040988756
21,0.4490555294431361,0.0033825636303686005,0.4475365705412258,0.0015189589019102684
22,0.45639830738261117,0.0033064383244488112,0.4548892545278677,0.0015090528547434343
23,0.4480660591142268,0.0017553654786063907,0.4472795394219225,0.0007865196923043241
24,0.4420835937630585,0.0013916111165965344,0.4414683853195129,0.0006152084435456185
25,0.4283003859484372,0.001901706394982835,0.42748588436550544,0.0008145015829317594
26,0.44445755625822264,0.0033592575421387363,0.44296450886020167,0.0014930473980209861
27,0.43230036252349013,0.007076125485491332,0.4292413509108505,0.0030590116126396104
28,0.4217524513814263,0.005196987281005796,0.419560609255864,0.002191842125562288
29,0.4363769985158575,0.003418535880861811,0.4348852280888482,0.00149177042700924
30,0.4154243638437071,0.0047151838237800775,0.41346556160330716,0.001958802240399977
31,0.44928489425232426,0.0020879329730679732,0.4483468175073135,0.0009380767450107854
32,0.4193287324983457,0.0033715265482989246,0.417914954544263,0.0014137779540827106
33,0.429864096873554,0.004997419537780977,0.4277158856372475,0.0021482112363064732
