timestep,cpu_demand_norm,batch_share,service_demand_norm,batch_demand_norm
0,0.4567818507211999,0.20103051182186119,0.3649547614797801,0.09182708924141982
1,0.46752620115199656,0.21415242957730993,0.3674043292842464,0.10012187186775018
2,0.4678061864809763,0.23297291313362586,0.35882001643457107,0.10898617004640528
3,0.46987810048054557,0.20657207829832233,0.37281440471741134,0.09706369576313423
4,0.4909882533598149,0.2163288198892953,0.3847733439309798,0.10621490942883509
5,0.4883697139450515,0.2287340682240464,0.3766629224769861,0.11170679146806545
6,0.4834368319114803,0.21525599039337925,0.37937415786573697,0.1040626740457433
7,0.4571854908893551,0.1889790018060632,0.3707870331808698,0.08639845770848532
8,0.4466746450386547,0.2028704802807522,0.3560575452704283,0.09061709976822639
9,0.43817194232505735,0.19936799745977676,0.3508144796406499,0.08735746268440749
10,0.4315885443533497,0.17304934373955017,0.3569024299874948,0.0746861143658549
11,0.4477707114776662,0.19710524059345957,0.3595127576611562,0.08825795381650996
12,0.459664713964291,0.20253568625238816,0.3665662056755256,0.09309850828876538
13,0.4751432347714699,0.19450650520618387,0.38272478470370996,0.09241845006775996
14,0.43206343470206615,0.16259080476394575,0.3618138931447827,0.07024954155728345
15,0.4214246263888481,0.15529612630758827,0.3559790143800373,0.06544561200881074
16,0.43544004123690205,0.15462360634100983,0.36811073171557424,0.06732930952132783
17,0.44180209249824315,0.15741256516911822,0.3722568918210106,0.0695452006772325
18,0.4567963712620209,0.15871999494122696,0.3842936535261421,0.07250271773587878
19,0.4397290228224609,0.14542809838078288,0.3757800672305505,0.06394895559191037
20,0.45252320161124027,0.15535141929915483,0.3822230799751365,0.07030012163610376
21,0.453906173097471,0.1484798442339007,0.38651025521915255,0.06739591787831846
22,0.4510316580679124,0.16734799621937985,0.3755524138587428,0.07547924420916963
23,0.44472340989880943,0.1818204879353975,0.3638635825147141,0.08085982738409532
24,0.4450187866765443,0.1706658513437144,0.36906927658444505,0.07594951009209926
25,0.4398172295452817,0.15509371604746464,0.3716043410334032,0.0682128885118785
26,0.44462996376668795,0.1878393808320818,0.3611109466733623,0.08351901709332563
27,0.44934646907620157,0.20131395332255533,0.35888675497494005,0.0904597141012615
28,0.4546398627195924,0.1874747936565382,0.36940634826819996,0.08523351445139245
29,0.4675014396445245,0.20598924396862142,0.3712011715379068,0.0963002681066177
30,0.4546431178071759,0.19379466705540555,0.36653570616270276,0.08810741164447318
31,0.4516516662812333,0.18809400640265667,0.3666986948719605,0.08495297140927285
32,0.45692049073636515,0.20807455794670274,0.3618469616096055,0.09507352912675966
33,0.4522664133251333,0.20946026055562988,0.35753457254949067,0.09473184077564262
34,0.4544721872829321,0.207218953373883,0.36029693629662357,0.09417525098630852
35,0.44252032589437285,0.2004391517973112,0.35382192711903504,0.08869839877533782
36,0.44291115865949787,0.2051805581735574,0.35203439990444507,0.09087675875505281
37,0.44532010547648,0.1958419007289919,0.358107769587131,0.087212335889349
38,0.4474116576701223,0.18579350376574846,0.3642854781659487,0.08312617950417363
39,0.4651095296181067,0.1887662551892115,0.37731254545928106,0.08779698415882566
40,0.4513993456119539,0.18489960145327428,0.3679357865120348,0.08346355909991908
41,0.44597851313252285,0.1795690179540466,0.36589458950070985,0.08008392363181299
42,0.46870762977556607,0.1869226574253282,0.3810955540623904,0.0876120757131757
43,0.4758056252842048,0.18802890363943048,0.38634041521654205,0.08946521006766271
44,0.4625958839196509,0.19855315058652695,0.3707460137190449,0.09184987020060599
45,0.45754514152794284,0.19496250702092738,0.36834099366041007,0.08920414786753277
46,0.45924527821289296,0.19304936977195775,0.3705882666831466,0.08865701152974638
47,0.4504795654539507,0.1903819398044875,0.36471639194054495,0.08576317351340573
48,0.4497178487969472,0.18556604809333188,0.36626548483866317,0.08345236395828406
49,0.45605234394762717,0.1728230780564445,0.3772359741117419,0.07881636983588525
50,0.44774069383201487,0.1833536341786885,0.3656458104482274,0.08209488338378743
51,0.44089583380224506,0.17386358497794227,0.3642401035355477,0.07665573026669735
52,0.443154327248606,0.17538731488868592,0.36543067971117094,0.07772364753743502
53,0.46014958956680024,0.18451983971619654,0.37524286105446064,0.0849067285123396
54,0.46286625379110097,0.17346435755247108,0.38257545644450863,0.08029079734659236
55,0.4676337455779813,0.18238664244319416,0.3823435968288784,0.08529014874910291
56,0.47002891647791056,0.1945766257047814,0.3785722759259642,0.09145664055194637
57,0.4682861592642531,0.19767540277518236,0.3757175041176487,0.09256865514660442
58,0.4609356851053463,0.17910862958048834,0.3783781262213842,0.08255755888396209
59,0.46326929926649,0.18783340326164744,0.37625185015862656,0.08701744910786345
60,0.4804296112163137,0.17912146168732096,0.3943743570173763,0.08605525419893745
61,0.4908770051852701,0.1727063629037954,0.4060994229866146,0.08477758219865551
62,0.4897982599277588,0.17550878946046244,0.4038343602479969,0.08596389967976187
63,0.48939745385803984,0.15846541444204598,0.4118448835055435,0.07755257035249635
64,0.4884150743621947,0.16054144530127973,0.41000421241715596,0.07841086194503875
65,0.5009233466794465,0.16623626265453328,0.4176517216510542,0.0832716250283923
66,0.5174867639402102,0.17968581444915213,0.4245017332949574,0.0929850306452528
67,0.5140132643695804,0.1770507906430924,0.4230068095119093,0.09100645485767109
68,0.4951427529998919,0.17875238809974078,0.40663480345088115,0.08850794954901077
69,0.5080212448335588,0.17822295116066297,0.41748019932700825,0.09054104550655057
70,0.4911927075504721,0.1873206489548983,0.39918217081020413,0.09201053674026802
71,0.48937689570142623,0.16552776794135646,0.4083714304738991,0.08100546522752708
72,0.49133349401911747,0.17144791738519277,0.4070953897279497,0.08423810429116776
73,0.5085686812849112,0.15290525827964221,0.43080585572010477,0.07776282556480639
74,0.5021980255940552,0.16386700572550014,0.4199043388586993,0.08229368673535592
75,0.5062019809238177,0.1809551782497097,0.41460211123539215,0.09159986968842558
76,0.5178369842709619,0.17937153541077758,0.4249517693097928,0.09288521496116912
77,0.5056947266098943,0.15854219019311844,0.42552077708405145,0.0801739495258429
78,0.5158094483385987,0.1678560480184771,0.4292277128098907,0.08658173552870799
79,0.5073043027056053,0.16770766191510095,0.42222548421937767,0.0850788184862277
80,0.4997540784412276,0.1641356891902956,0.41772659835061565,0.08202748009061193
81,0.5161428338831394,0.17234978895935202,0.4271857253904985,0.08895710849264096
82,0.523566183816793,0.17559395451945106,0.4316311271477445,0.0919350566690485
83,0.5199164231213633,0.1677808533183598,0.4326844019958316,0.08723202112553174
84,0.5173122180914789,0.16359793289748123,0.43268100854910196,0.08463120954237693
85,0.5304160968483593,0.15640523557164543,0.44745624226979896,0.08295985457856034
86,0.5299780462574453,0.1564064845947721,0.44708604312991274,0.08289200312753253
87,0.531470642839656,0.154980183156562,0.4491032252700303,0.08236741756962562
88,0.5311472907230472,0.15598098665932683,0.448298412254638,0.08284887846840921
89,0.5219719152738821,0.15378624674380814,0.44169981351823473,0.08027210175564735
90,0.5069605281501273,0.1549592001668692,0.42840233019180995,0.0785581979583173
91,0.5032638409378015,0.14748255382326803,0.4290412044293876,0.07422263650841392
92,0.493553580475894,0.15242597972923203,0.4183231924229855,0.0752303880529085
93,0.4978456828148836,0.15319385795414336,0.42157878199865684,0.0762669008162268
94,0.507249124575017,0.14808702278652025,0.43213211190563405,0.07511701266938299
95,0.49646161225390867,0.1476546935387676,0.42315672504279533,0.07330488721111335
96,0.4946040841160657,0.15507346925701665,0.4179041128834981,0.0766999712325676
97,0.5029719568480383,0.1486468210585834,0.42820677438096244,0.07476518246707588
98,0.5095836306495289,0.15424163383732375,0.4309846188813903,0.07859901176813867
99,0.5025993046004917,0.15516423778538055,0.4246138665906941,0.07798543800979761
100,0.5020171218909986,0.1567126776432636,0.42334467449669555,0.07867244739430303
101,0.5090898976718295,0.14455309330731922,0.43549937819185996,0.07359051947996957
102,0.5132851405585634,0.1439346354720574,0.4394056309590429,0.07387950959952057
103,0.5020280108815776,0.14608415658848037,0.42868967232814986,0.0733383385534277
104,0.5044182604724611,0.1438753910564394,0.4318448859909768,0.07257337448148425
105,0.5056581475961919,0.155292399593548,0.42713328048195076,0.0785248671142411
106,0.514927232059856,0.15472930064270693,0.43525290156134966,0.07967433049850638
107,0.5137982918650746,0.14372833089828987,0.43995092095691507,0.07384737090815957
108,0.5010148765373945,0.14772368381468587,0.42700311332933055,0.07401176320806395
109,0.5185266730432221,0.15601796429014375,0.43762719708487763,0.08089947595834447
110,0.5237603567908657,0.14785245429096613,0.44632110257902413,0.07743925421184158
111,0.526165837333895,0.15731904917616346,0.4433899280955467,0.08277590923834825
112,0.5342822016905567,0.16768027932425622,0.4446936128731056,0.08958858881745116
113,0.5290048694057503,0.17573537304948952,0.4360400013357343,0.09296486807001601
114,0.5218996663918481,0.16730652106820434,0.4345824488611716,0.08731721753067656
115,0.5460071925685132,0.17660897018075553,0.44957742457770256,0.09642976799081059
116,0.5392243529064493,0.15820167651796624,0.45391815625733356,0.08530619664911576
117,0.5350311120765594,0.15584922180351743,0.4516469296187571,0.0833841824578023
118,0.5484697639944349,0.16249389392255728,0.4593467763441932,0.08912298765024174
119,0.5545035185606288,0.1664452084499521,0.4622090648275731,0.09229445373305574
120,0.5559987638400201,0.16092117422213453,0.46652678989682883,0.08947197394319131
