timestep,cpu_demand_norm,batch_share,service_demand_norm,batch_demand_norm
0,0.5150853735717308,0.0,0.5150853735717308,0.0
1,0.5688970885104636,0.0,0.5688970885104636,0.0
2,0.5693619684639725,0.04060328534892249,0.5462440019916056,0.023117966472366882
3,0.5769337459561288,0.39953393235473933,0.3464291377261265,0.23050460823000232
4,0.5581758824671821,0.47518887282484523,0.29293691403958855,0.26523896842759354
5,0.5606200313399317,0.38732111754008247,0.34348005428599326,0.2171399770539384
6,0.5284822886650061,0.3564210437548931,0.3401200797330499,0.18836220893195618
7,0.5393875173010675,0.3254042834157606,0.3638685087503074,0.17551900855076005
8,0.5256833680084271,0.2953673408284582,0.37041366948203014,0.1552696985263969
9,0.5152240163072753,0.233337352408994,0.39500300844460734,0.12022100786266797
10,0.5388225871405,0.21945153200041895,0.42057714491608805,0.11824544222441197
11,0.5291884593445502,0.21015306445657725,0.4179778829382381,0.11121057640631206
12,0.5234522202304291,0.19225474583002383,0.42281604667586636,0.10063617355456281
13,0.5649231457010848,0.17172285578300556,0.4679129298233756,0.09701021587770922
14,0.5442273076112729,0.09433092356843811,0.4928898430531371,0.05133746455813584
15,0.5301417829095235,0.13078395486092212,0.46080774390359563,0.0693340390059279
16,0.5333599554736815,0.1262802289539285,0.46600713818160794,0.06735281729207361
17,0.5492550871528356,0.11673114193095657,0.485139913618098,0.06411517353473757
18,0.5091015746828984,0.1141359041674788,0.45099480614337856,0.05810676853951985
19,0.5319298631785464,0.10437270608956221,0.47641090390875096,0.05551895926979546
20,0.5455229261902372,0.10082192345734145,0.49052225548166023,0.055000670708577025
21,0.5342860717754155,0.08206758236404628,0.4904385055740239,0.04384756620139166
22,0.5014772565327129,0.08081445973895564,0.46095064297464805,0.040526613558064854
23,0.4960864266187147,0.06160126316958165,0.4655268760977179,0.030559550520996803
24,0.5189567310948732,0.05783468793636284,0.4889430304995262,0.030013700595346953
25,0.543917858362227,0.05662770521158567,0.5131170382195738,0.030800820142653198
26,0.5301830981293172,0.054785328832720054,0.5011368427567523,0.029046255372564927
27,0.5169081938749335,0.05109705558183326,0.49049570716180096,0.026412486713132517
28,0.4897347645243338,0.05763468658733078,0.46150905486005356,0.02822570966428022
