timestep,cpu_demand_norm,batch_share,service_demand_norm,batch_demand_norm
0,0.6177687762955509,0.3265543929121639,0.41603366859226687,0.20173510770328404
1,0.6161343329220214,0.3204534818556602,0.4186919406463451,0.19744239227567628
2,0.619259940878134,0.32715888586077674,0.4166635485622332,0.20259639231590076
3,0.6101798315450235,0.3222850567928334,0.4135279898816941,0.19665184166332944
4,0.6054078245675288,0.3209292338621048,0.4111147552549482,0.19429306931258059
5,0.6113358370270009,0.31757492077452687,0.417190907016522,0.1941449300104789
6,0.6126937725856343,0.32074910253389044,0.41617279490068854,0.19652097768494575
7,0.6130485300193178,0.3218573550261415,0.41573435164463607,0.19731417837468174
8,0.6138122782988945,0.32132655342248356,0.4165780944647084,0.1972341838341861
9,0.6049757271019057,0.3168952363810816,0.4132618010571306,0.1917139260447751
10,0.5910394897564756,0.3054215249067428,0.4105233075149496,0.18051618224152596
11,0.5947481837206946,0.30556099481236226,0.41301633704015356,0.18173184668054104
12,0.6128396388188256,0.3223722491101747,0.4152771461089337,0.19756249270989196
13,0.5961363907368149,0.2984146967419063,0.4182405304782737,0.17789586025854118
14,0.5929736936733812,0.29568457214632937,0.41764052076553887,0.17533317290784228
15,0.6013098607260355,0.30409395661191513,0.41845516602809574,0.18285469469793977
16,0.5877347330718269,0.3013650164247032,0.4106120455862672,0.17712268748555968
17,0.5897923230733987,0.2869088291106993,0.4205756982419306,0.1692166248314681
18,0.591660697573337,0.2868151309660472,0.42196345711137745,0.1696972404619595
19,0.5912439670355897,0.28840402365132933,0.4207268279829517,0.170517139052638
20,0.5881020341812002,0.2918897919157692,0.41644105379880914,0.1716609803823911
21,0.5827607294304097,0.291913328392174,0.41264510524612763,0.17011562418428203
22,0.5914060733760785,0.29587037819288853,0.416426534780727,0.17497953859535154
23,0.5961882581453684,0.30664643073806935,0.4133692567371444,0.1828190014082239
24,0.5930243802358094,0.2989274935217022,0.415753088654658,0.17727129158115137
25,0.5945348770419278,0.30154269932051203,0.41525722537851617,0.1792776516634116
