timestamp_utc,price_usd_mwh
2025-05-06 07:00:00+00:00,38.26651
2025-05-06 08:00:00+00:00,35.5696
2025-05-06 09:00:00+00:00,35.74274
2025-05-06 10:00:00+00:00,35.3738
2025-05-06 11:00:00+00:00,36.18804
2025-05-06 12:00:00+00:00,43.06465
2025-05-06 13:00:00+00:00,42.39638
2025-05-06 14:00:00+00:00,36.21859
2025-05-06 15:00:00+00:00,20.46565
2025-05-06 16:00:00+00:00,13.52698
2025-05-06 17:00:00+00:00,9.14047
2025-05-06 18:00:00+00:00,8.66185
2025-05-06 19:00:00+00:00,8.11589
2025-05-06 20:00:00+00:00,7.90907
2025-05-06 21:00:00+00:00,9.58124
2025-05-06 22:00:00+00:00,10.61928
2025-05-06 23:00:00+00:00,12.18196
2025-05-07 00:00:00+00:00,20.97428
2025-05-07 01:00:00+00:00,37.63298
2025-05-07 02:00:00+00:00,44.56053
2025-05-07 03:00:00+00:00,45.59947
2025-05-07 04:00:00+00:00,40.58748
2025-05-07 05:00:00+00:00,37.97402
2025-05-07 06:00:00+00:00,36.355
2025-05-07 07:00:00+00:00,35.5725
2025-05-07 08:00:00+00:00,34.07
2025-05-07 09:00:00+00:00,33.66812
2025-05-07 10:00:00+00:00,34.35067
2025-05-07 11:00:00+00:00,35.64104
2025-05-07 12:00:00+00:00,39.8467
2025-05-07 13:00:00+00:00,42.74711
2025-05-07 14:00:00+00:00,36.85827
2025-05-07 15:00:00+00:00,23.0197
2025-05-07 16:00:00+00:00,16.75748
2025-05-07 17:00:00+00:00,9.16611
2025-05-07 18:00:00+00:00,8.13615
2025-05-07 19:00:00+00:00,6.8897
2025-05-07 20:00:00+00:00,7.13111
2025-05-07 21:00:00+00:00,8.20422
2025-05-07 22:00:00+00:00,9.75211
2025-05-07 23:00:00+00:00,10.44273
2025-05-08 00:00:00+00:00,20.85498
2025-05-08 01:00:00+00:00,39.83895
2025-05-08 02:00:00+00:00,47.42153
2025-05-08 03:00:00+00:00,48.69781
2025-05-08 04:00:00+00:00,41.46557
2025-05-08 05:00:00+00:00,37.97564
2025-05-08 06:00:00+00:00,36.56772
2025-05-08 07:00:00+00:00,40.16265
2025-05-08 08:00:00+00:00,38.87736
2025-05-08 09:00:00+00:00,38.58044
2025-05-08 10:00:00+00:00,38.27747
2025-05-08 11:00:00+00:00,38.77741
2025-05-08 12:00:00+00:00,46.02405
2025-05-08 13:00:00+00:00,48.15836
2025-05-08 14:00:00+00:00,33.4934
2025-05-08 15:00:00+00:00,25.10827
2025-05-08 16:00:00+00:00,20.0
2025-05-08 17:00:00+00:00,14.67926
2025-05-08 18:00:00+00:00,14.30503
2025-05-08 19:00:00+00:00,11.85231
2025-05-08 20:00:00+00:00,14.42018
