timestep,solar_fraction
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0058708333333333
410,0.0117416666666666
411,0.0176125
412,0.0234833333333333
413,0.0293541666666666
414,0.035225
415,0.0410958333333333
416,0.0469666666666666
417,0.0528375
418,0.0587083333333333
419,0.0645791666666666
420,0.07045
421,0.0867666666666666
422,0.1030833333333333
423,0.1194
424,0.1357166666666666
425,0.1520333333333333
426,0.16835
427,0.1846666666666666
428,0.2009833333333333
429,0.2173
430,0.2336166666666666
431,0.2499333333333333
432,0.26625
433,0.2829291666666667
434,0.2996083333333333
435,0.3162874999999999
436,0.3329666666666666
437,0.3496458333333333
438,0.366325
439,0.3830041666666666
440,0.3996833333333333
441,0.4163624999999999
442,0.4330416666666666
443,0.4497208333333333
444,0.4664
445,0.4834916666666666
446,0.5005833333333333
447,0.517675
448,0.5347666666666666
449,0.5518583333333333
450,0.5689500000000001
451,0.5860416666666667
452,0.6031333333333333
453,0.620225
454,0.6373166666666666
455,0.6544083333333333
456,0.6715
457,0.6844166666666667
458,0.6973333333333334
459,0.71025
460,0.7231666666666666
461,0.7360833333333334
462,0.749
463,0.7619166666666666
464,0.7748333333333334
465,0.78775
466,0.8006666666666666
467,0.8135833333333333
468,0.8265
469,0.835125
470,0.84375
471,0.852375
472,0.861
473,0.869625
474,0.87825
475,0.886875
476,0.8955
477,0.904125
478,0.91275
479,0.921375
480,0.93
481,0.931825
482,0.93365
483,0.935475
484,0.9373
485,0.939125
486,0.94095
487,0.942775
488,0.9446
489,0.946425
490,0.94825
491,0.950075
492,0.9519
493,0.9434708333333331
494,0.9350416666666668
495,0.9266125
496,0.9181833333333332
497,0.9097541666666666
498,0.901325
499,0.8928958333333333
500,0.8844666666666667
501,0.8760375
502,0.8676083333333333
503,0.8591791666666667
504,0.85075
505,0.8473791666666666
506,0.8440083333333334
507,0.8406375
508,0.8372666666666666
509,0.8338958333333333
510,0.830525
511,0.8271541666666667
512,0.8237833333333333
513,0.8204124999999999
514,0.8170416666666667
515,0.8136708333333333
516,0.8102999999999999
517,0.8027249999999999
518,0.79515
519,0.7875749999999999
520,0.78
521,0.7724249999999999
522,0.7648499999999999
523,0.757275
524,0.7496999999999999
525,0.742125
526,0.7345499999999999
527,0.726975
528,0.7193999999999999
529,0.7035041666666666
530,0.6876083333333334
531,0.6717124999999999
532,0.6558166666666666
533,0.6399208333333334
534,0.6240249999999999
535,0.6081291666666666
536,0.5922333333333334
537,0.5763375
538,0.5604416666666666
539,0.5445458333333334
540,0.52865
541,0.5109083333333333
542,0.4931666666666666
543,0.475425
544,0.4576833333333333
545,0.4399416666666667
546,0.4221999999999999
547,0.4044583333333333
548,0.3867166666666667
549,0.368975
550,0.3512333333333333
551,0.3334916666666667
552,0.31575
553,0.29885
554,0.28195
555,0.26505
556,0.2481499999999999
557,0.23125
558,0.2143499999999999
559,0.19745
560,0.18055
561,0.16365
562,0.1467499999999999
563,0.1298499999999999
564,0.11295
565,0.1035374999999999
566,0.0941249999999999
567,0.0847125
568,0.0752999999999999
569,0.0658874999999999
570,0.056475
571,0.0470624999999999
572,0.0376499999999999
573,0.0282374999999999
574,0.0188249999999999
575,0.0094124999999999
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.002675
698,0.00535
699,0.008025
700,0.0107
701,0.013375
702,0.01605
703,0.018725
704,0.0214
705,0.024075
706,0.02675
707,0.029425
708,0.0321
709,0.0381083333333333
710,0.0441166666666666
711,0.050125
712,0.0561333333333333
713,0.0621416666666666
714,0.06815
715,0.0741583333333333
716,0.0801666666666666
717,0.086175
718,0.0921833333333333
719,0.0981916666666666
720,0.1041999999999999
721,0.1083708333333333
722,0.1125416666666666
723,0.1167125
724,0.1208833333333333
725,0.1250541666666666
726,0.129225
727,0.1333958333333333
728,0.1375666666666666
729,0.1417375
730,0.1459083333333333
731,0.1500791666666666
732,0.15425
733,0.1732291666666666
734,0.1922083333333333
735,0.2111875
736,0.2301666666666666
737,0.2491458333333333
738,0.268125
739,0.2871041666666666
740,0.3060833333333334
741,0.3250625
742,0.3440416666666667
743,0.3630208333333333
744,0.382
745,0.3874541666666666
746,0.3929083333333333
747,0.3983625
