timestamp_utc,market_id,gross_demand_mw,wind_mw,solar_mw,net_load_mw,market_scale_mw,forecast_gross_h1_mw,forecast_gross_h2_mw,forecast_gross_h3_mw,forecast_net_h1_mw,forecast_net_h2_mw,forecast_net_h3_mw,forecast_issue_time_utc,forecast_vintage_id,quality_ok
2025-02-28 20:00:00+00:00,CAISO_NP15,22014,1946,12608,7460,33983.0,22172.736408898752,22381.13819890557,22750.042891256464,7865.231812247641,9524.513833366793,11700.343027901668,2025-02-28T20:00:00Z,causal-ridge-shortlag-v2,True
2025-02-28 20:00:00+00:00,ISONE_NEMA,11641,974,500,10167,18007.25,12819.371163324004,13725.154636242449,14253.80069070747,11549.813011289809,12628.89258584518,13293.904917691416,2025-02-28T20:00:00Z,causal-ridge-shortlag-v2,True
2025-02-28 20:00:00+00:00,MISO_MINN_HUB,67603,21463,9005,37135,101249.75,67410.28827159523,68103.11066208516,69248.7045875895,38753.05842598763,41687.18059157012,45541.04576319539,2025-02-28T20:00:00Z,causal-ridge-shortlag-v2,True
2025-02-28 20:00:00+00:00,SPP_NORTH_HUB,30359,17111,250,12998,46366.75,30312.454261084396,30329.690183618965,30368.97561458837,12513.971083177596,12267.293123259333,12147.223238763889,2025-02-28T20:00:00Z,causal-ridge-shortlag-v2,True
2025-02-28 21:00:00+00:00,CAISO_NP15,22397,1723,13589,7085,33983.0,22527.54613704621,22941.3618378833,23442.901524253048,8248.66892929497,10729.305909539722,13411.30032739051,2025-02-28T21:00:00Z,causal-ridge-shortlag-v2,True
2025-02-28 21:00:00+00:00,ISONE_NEMA,13441,810,169,12462,18007.25,14909.26314242407,15713.070652623865,15808.464808056888,14231.480183253265,15216.927793558754,15413.125113023232,2025-02-28T21:00:00Z,causal-ridge-shortlag-v2,True
2025-02-28 21:00:00+00:00,MISO_MINN_HUB,67376,21912,8376,37088,101249.75,67799.90128883523,68703.25544814371,70174.32270904956,39113.03080248748,42650.42301007667,46139.41068402139,2025-02-28T21:00:00Z,causal-ridge-shortlag-v2,True
2025-02-28 21:00:00+00:00,SPP_NORTH_HUB,30249,16489,250,13510,46366.75,30294.93385395417,30410.484324417717,30512.412397560413,13855.225627739115,13901.841218270629,13838.930564138012,2025-02-28T21:00:00Z,causal-ridge-shortlag-v2,True
2025-02-28 22:00:00+00:00,CAISO_NP15,22054,1280,13304,7470,33983.0,22268.66631395616,22879.184645481248,23539.169172733826,9674.914723151029,12395.249701351426,15145.246259006091,2025-02-28T22:00:00Z,causal-ridge-shortlag-v2,True
2025-02-28 22:00:00+00:00,ISONE_NEMA,14840,548,21,14271,18007.25,15604.523811222634,15725.399295685029,15284.37187812827,15243.29638718208,15476.670359878128,15094.69999778519,2025-02-28T22:00:00Z,causal-ridge-shortlag-v2,True
2025-02-28 22:00:00+00:00,MISO_MINN_HUB,68321,23185,5636,39500,101249.75,69663.17476739813,70731.83307993208,71718.38456493506,42995.63952756398,46422.43213770178,48358.571518788536,2025-02-28T22:00:00Z,causal-ridge-shortlag-v2,True
