collection_id,submit_time,end_time,duration_sec,scheduling_class,priority,job_type,terminal_type,num_tasks,avg_cpu_request,avg_mem_request,total_cpu_request,total_mem_request
374471446803,0,,,0,0,batch,,182,0.0081024169921875,0.002605438232421875,162.56689453125,52.2755126953125
31196579540,0,,,2,200,service,,5,0.0013420670120804406,0.0009296205308702259,0.036235809326171875,0.025099754333496094
199454118092,0,,,1,200,service,,1,0.00332794189453125,0.02921142578125,0.01663970947265625,0.14605712890625
7514279895,0,,,2,200,service,,1,0.00030803680419921875,0.0003049033028738839,0.0043125152587890625,0.004268646240234375
372851996630,0,,,0,119,batch,,1,0.04052734375,0.00025463104248046875,0.04052734375,0.00025463104248046875
374955670701,0,4403237619,4403.237619,0,200,service,5,1,0.0004405975341796875,0.0011386871337890625,0.0004405975341796875,0.0011386871337890625
114978507876,0,,,1,200,service,,1,0.00029341379801432293,0.0007839202880859375,0.0008802413940429688,0.0023517608642578125
374590288430,0,,,1,200,service,,15,0.0006386223485914329,0.0018270136946338716,0.03767871856689453,0.10779380798339844
359282970888,0,,,0,200,service,,28,0.02085058933979763,0.03308481783480253,77.14718055725098,122.41382598876953
280372276529,0,,,3,200,service,,28,0.008391217982515378,0.00593124551975981,0.7887744903564453,0.5575370788574219
372838619605,0,,,1,200,service,,40,0.00627239304359513,0.006469476102578519,0.620966911315918,0.6404781341552734
108205019854,0,,,0,200,service,,5,0.0003500495638166157,0.023127487727573948,0.07841110229492188,5.1805572509765625
85105913979,0,,,0,200,service,,1,0.00038738250732421874,0.0004565556844075521,0.005810737609863281,0.006848335266113281
374937411955,0,,,0,200,service,,30,0.00026416778564453125,0.001445770263671875,0.007925033569335938,0.04337310791015625
88067631556,0,,,2,360,service,,1,0.0014972686767578125,0.0244140625,0.0014972686767578125,0.0244140625
295906683363,0,,,2,200,service,,1,0.01740264892578125,0.0282135009765625,0.069610595703125,0.11285400390625
374471491599,0,,,0,0,batch,,109,0.0081024169921875,0.00234222412109375,99.29512023925781,28.703956604003906
374888738584,0,,,2,200,service,,1,0.0081024169921875,0.0091094970703125,0.0081024169921875,0.0091094970703125
349542824163,0,,,3,450,service,,1,0.0,0.007049560546875,0.0,0.007049560546875
