timestamp_utc,market_id,gross_demand_mw,wind_mw,solar_mw,net_load_mw,market_scale_mw,forecast_gross_h1_mw,forecast_gross_h2_mw,forecast_gross_h3_mw,forecast_net_h1_mw,forecast_net_h2_mw,forecast_net_h3_mw,forecast_issue_time_utc,forecast_vintage_id,quality_ok
2025-05-05 21:00:00+00:00,CAISO_NP15,24658,2583,14037,8038,33983.0,24658,24658,24658,8038,8038,8038,2025-05-05T21:00:00Z,persistence-placeholder,True
2025-05-05 21:00:00+00:00,ISONE_NEMA,12864,375,180,12309,18007.25,12864,12864,12864,12309,12309,12309,2025-05-05T21:00:00Z,persistence-placeholder,True
2025-05-05 21:00:00+00:00,MISO_MINN_HUB,70612,7350,8133,55129,101249.75,70612,70612,70612,55129,55129,55129,2025-05-05T21:00:00Z,persistence-placeholder,True
2025-05-05 21:00:00+00:00,SPP_NORTH_HUB,32361,8668,468,23225,46366.75,32361,32361,32361,23225,23225,23225,2025-05-05T21:00:00Z,persistence-placeholder,True
2025-05-05 22:00:00+00:00,ISONE_NEMA,13209,409,86,12714,18007.25,13209,13209,13209,12714,12714,12714,2025-05-05T22:00:00Z,persistence-placeholder,True
2025-05-05 22:00:00+00:00,MISO_MINN_HUB,70941,7153,6569,57219,101249.75,70941,70941,70941,57219,57219,57219,2025-05-05T22:00:00Z,persistence-placeholder,True
2025-05-05 22:00:00+00:00,CAISO_NP15,23238,2379,11599,9260,33983.0,23238,23238,23238,9260,9260,9260,2025-05-05T22:00:00Z,persistence-placeholder,True
2025-05-05 22:00:00+00:00,SPP_NORTH_HUB,32517,7855,449,24213,46366.75,32517,32517,32517,24213,24213,24213,2025-05-05T22:00:00Z,persistence-placeholder,True
2025-05-05 23:00:00+00:00,ISONE_NEMA,13251,450,8,12793,18007.25,13251,13251,13251,12793,12793,12793,2025-05-05T23:00:00Z,persistence-placeholder,True
2025-05-05 23:00:00+00:00,CAISO_NP15,22820,2521,9825,10474,33983.0,22820,22820,22820,10474,10474,10474,2025-05-05T23:00:00Z,persistence-placeholder,True
2025-05-05 23:00:00+00:00,MISO_MINN_HUB,70876,6703,3903,60270,101249.75,70876,70876,70876,60270,60270,60270,2025-05-05T23:00:00Z,persistence-placeholder,True
2025-05-05 23:00:00+00:00,SPP_NORTH_HUB,32379,7292,309,24778,46366.75,32379,32379,32379,24778,24778,24778,2025-05-05T23:00:00Z,persistence-placeholder,True
2025-05-06 00:00:00+00:00,CAISO_NP15,24038,2845,10348,10845,33983.0,24038,24038,24038,10845,10845,10845,2025-05-06T00:00:00Z,persistence-placeholder,True
2025-05-06 00:00:00+00:00,ISONE_NEMA,13005,555,3,12447,18007.25,13005,13005,13005,12447,12447,12447,2025-05-06T00:00:00Z,persistence-placeholder,True
2025-05-06 00:00:00+00:00,SPP_NORTH_HUB,31974,6921,148,24905,46366.75,31974,31974,31974,24905,24905,24905,2025-05-06T00:00:00Z,persistence-placeholder,True
2025-05-06 00:00:00+00:00,MISO_MINN_HUB,70791,6665,795,63331,101249.75,70791,70791,70791,63331,63331,63331,2025-05-06T00:00:00Z,persistence-placeholder,True
2025-05-06 01:00:00+00:00,SPP_NORTH_HUB,31649,7354,3,24292,46366.75,31649,31649,31649,24292,24292,24292,2025-05-06T01:00:00Z,persistence-placeholder,True
